did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
1463,blogger,1,64,active,ARFF,68.0,5.0,32.0,2.0,6.0,100.0,0.0,0.0,0.0,6.0
1464,blood-transfusion-service-center,1,64,active,ARFF,570.0,2.0,178.0,2.0,5.0,748.0,0.0,0.0,4.0,1.0
1465,breast-tissue,1,64,active,ARFF,22.0,6.0,14.0,6.0,10.0,106.0,0.0,0.0,9.0,1.0
1467,climate-model-simulation-crashes,1,64,active,ARFF,494.0,2.0,46.0,2.0,21.0,540.0,0.0,0.0,20.0,1.0
1473,fertility,1,64,active,ARFF,88.0,2.0,12.0,2.0,10.0,100.0,0.0,0.0,9.0,1.0
1479,hill-valley,1,64,active,ARFF,606.0,2.0,606.0,2.0,101.0,1212.0,0.0,0.0,100.0,1.0
1480,ilpd,1,64,active,ARFF,416.0,2.0,167.0,2.0,11.0,583.0,0.0,0.0,9.0,2.0
1488,parkinsons,1,64,active,ARFF,147.0,2.0,48.0,2.0,23.0,195.0,0.0,0.0,22.0,1.0
1490,planning-relax,1,64,active,ARFF,130.0,2.0,52.0,2.0,13.0,182.0,0.0,0.0,12.0,1.0
1491,one-hundred-plants-margin,1,64,active,ARFF,16.0,100.0,16.0,100.0,65.0,1600.0,0.0,0.0,64.0,1.0
1492,one-hundred-plants-shape,1,64,active,ARFF,16.0,100.0,16.0,100.0,65.0,1600.0,0.0,0.0,64.0,1.0
1493,one-hundred-plants-texture,1,64,active,ARFF,16.0,100.0,15.0,100.0,65.0,1599.0,0.0,0.0,64.0,1.0
1494,qsar-biodeg,1,64,active,ARFF,699.0,2.0,356.0,2.0,42.0,1055.0,0.0,0.0,41.0,1.0
1495,qualitative-bankruptcy,1,64,active,ARFF,143.0,3.0,107.0,2.0,7.0,250.0,0.0,0.0,0.0,7.0
1498,sa-heart,1,64,active,ARFF,302.0,2.0,160.0,2.0,10.0,462.0,0.0,0.0,8.0,2.0
1499,seeds,1,64,active,ARFF,70.0,3.0,70.0,3.0,8.0,210.0,0.0,0.0,7.0,1.0
1500,seismic-bumps,1,64,active,ARFF,70.0,3.0,70.0,3.0,8.0,210.0,0.0,0.0,7.0,1.0
1504,steel-plates-fault,1,64,active,ARFF,1268.0,2.0,673.0,2.0,34.0,1941.0,0.0,0.0,33.0,1.0
1506,thoracic-surgery,1,64,active,ARFF,400.0,7.0,70.0,2.0,17.0,470.0,0.0,0.0,3.0,14.0
1508,user-knowledge,1,64,active,ARFF,129.0,5.0,24.0,5.0,6.0,403.0,0.0,0.0,5.0,1.0
1510,wdbc,1,64,active,ARFF,357.0,2.0,212.0,2.0,31.0,569.0,0.0,0.0,30.0,1.0
1511,wholesale-customers,1,64,active,ARFF,298.0,3.0,142.0,2.0,9.0,440.0,0.0,0.0,7.0,2.0
1516,robot-failures-lp1,1,64,active,ARFF,34.0,4.0,16.0,4.0,91.0,88.0,0.0,0.0,90.0,1.0
1519,robot-failures-lp4,1,64,active,ARFF,72.0,3.0,21.0,3.0,91.0,117.0,0.0,0.0,90.0,1.0
1520,robot-failures-lp5,1,64,active,ARFF,47.0,5.0,21.0,5.0,91.0,164.0,0.0,0.0,90.0,1.0
1523,vertebra-column,1,64,active,ARFF,150.0,3.0,60.0,3.0,7.0,310.0,0.0,0.0,6.0,1.0
1524,vertebra-column,2,64,active,ARFF,210.0,2.0,100.0,2.0,7.0,310.0,0.0,0.0,6.0,1.0
1547,autoUniv-au1-1000,1,64,active,ARFF,741.0,2.0,259.0,2.0,21.0,1000.0,0.0,0.0,20.0,1.0
1549,autoUniv-au6-750,1,64,active,ARFF,165.0,8.0,57.0,8.0,41.0,750.0,0.0,0.0,37.0,4.0
1551,autoUniv-au6-400,1,64,active,ARFF,111.0,8.0,25.0,8.0,41.0,400.0,0.0,0.0,37.0,4.0
1552,autoUniv-au7-1100,1,64,active,ARFF,305.0,5.0,153.0,5.0,13.0,1100.0,0.0,0.0,8.0,5.0
1553,autoUniv-au7-700,1,64,active,ARFF,245.0,3.0,214.0,3.0,13.0,700.0,0.0,0.0,8.0,5.0
1554,autoUniv-au7-500,1,64,active,ARFF,192.0,5.0,43.0,5.0,13.0,500.0,0.0,0.0,8.0,5.0
1555,autoUniv-au6-1000,1,64,active,ARFF,240.0,8.0,89.0,8.0,41.0,1000.0,0.0,0.0,37.0,4.0
1556,acute-inflammations,2,64,active,ARFF,61.0,2.0,59.0,2.0,7.0,120.0,0.0,0.0,1.0,6.0
1559,breast-tissue,2,64,active,ARFF,49.0,4.0,14.0,4.0,10.0,106.0,0.0,0.0,9.0,1.0
1565,heart-h,3,64,active,ARFF,188.0,5.0,15.0,5.0,14.0,294.0,0.0,0.0,13.0,1.0
1566,hill-valley,2,64,active,ARFF,612.0,2.0,600.0,2.0,101.0,1212.0,0.0,0.0,100.0,1.0
1600,SPECTF,2,555,active,ARFF,212.0,2.0,55.0,2.0,45.0,267.0,0.0,0.0,44.0,1.0
4153,Smartphone-Based_Recognition_of_Human_Activities,1,2,active,ARFF,30.0,6.0,30.0,6.0,68.0,180.0,0.0,0.0,66.0,2.0
4329,thoracic_surgery,1,874,active,ARFF,400.0,7.0,70.0,2.0,17.0,470.0,0.0,0.0,3.0,14.0
6332,cylinder-bands,2,2,active,ARFF,312.0,71.0,228.0,2.0,40.0,540.0,263.0,999.0,18.0,22.0
23381,dresses-sales,2,64,active,ARFF,290.0,24.0,210.0,2.0,13.0,500.0,401.0,835.0,1.0,12.0
23499,breast-cancer-dropped-missing-attributes-values,1,1336,active,ARFF,196.0,11.0,81.0,2.0,10.0,277.0,0.0,0.0,0.0,10.0
40496,LED-display-domain-7digit,1,64,active,ARFF,57.0,10.0,37.0,10.0,8.0,500.0,0.0,0.0,7.0,1.0
40589,emotions,3,2373,active,ARFF,420.0,2.0,173.0,2.0,78.0,593.0,0.0,0.0,72.0,6.0
40646,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,1,869,active,ARFF,800.0,3.0,800.0,2.0,21.0,1600.0,0.0,0.0,0.0,21.0
40647,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,1,869,active,ARFF,800.0,3.0,800.0,2.0,21.0,1600.0,0.0,0.0,0.0,21.0
40648,GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1,1,869,active,ARFF,800.0,3.0,800.0,2.0,21.0,1600.0,0.0,0.0,0.0,21.0
40649,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,1,869,active,ARFF,800.0,3.0,800.0,2.0,21.0,1600.0,0.0,0.0,0.0,21.0
40650,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001,1,869,active,ARFF,800.0,3.0,800.0,2.0,21.0,1600.0,0.0,0.0,0.0,21.0
40660,analcatdata_fraud,1,869,active,ARFF,29.0,9.0,13.0,2.0,12.0,42.0,0.0,0.0,0.0,12.0
40663,calendarDOW,1,869,active,ARFF,96.0,10.0,44.0,5.0,33.0,399.0,0.0,0.0,12.0,21.0
40664,car-evaluation,1,869,active,ARFF,1210.0,4.0,65.0,4.0,22.0,1728.0,0.0,0.0,0.0,22.0
40669,corral,1,869,active,ARFF,90.0,2.0,70.0,2.0,7.0,160.0,0.0,0.0,0.0,7.0
40671,ecoli,3,869,active,ARFF,143.0,5.0,20.0,5.0,8.0,327.0,0.0,0.0,7.0,1.0
40680,mofn-3-7-10,1,869,active,ARFF,1032.0,2.0,292.0,2.0,11.0,1324.0,0.0,0.0,0.0,11.0
40681,mux6,1,869,active,ARFF,64.0,2.0,64.0,2.0,7.0,128.0,0.0,0.0,0.0,7.0
40682,thyroid-new,1,869,active,ARFF,150.0,3.0,30.0,3.0,6.0,215.0,0.0,0.0,5.0,1.0
40683,postoperative-patient-data,3,869,active,ARFF,64.0,5.0,24.0,2.0,9.0,88.0,0.0,0.0,0.0,9.0
40686,solar-flare,3,869,active,ARFF,88.0,6.0,21.0,5.0,13.0,315.0,0.0,0.0,0.0,13.0
40687,solar-flare,4,869,active,ARFF,331.0,8.0,43.0,6.0,13.0,1066.0,0.0,0.0,0.0,13.0
40690,threeOf9,1,869,active,ARFF,274.0,2.0,238.0,2.0,10.0,512.0,0.0,0.0,0.0,10.0
40693,xd6,1,869,active,ARFF,651.0,2.0,322.0,2.0,10.0,973.0,0.0,0.0,0.0,10.0
40700,cars1,1,869,active,ARFF,245.0,5.0,68.0,3.0,8.0,392.0,0.0,0.0,6.0,2.0
40702,solar-flare,5,869,active,ARFF,884.0,6.0,182.0,2.0,11.0,1066.0,0.0,0.0,0.0,11.0
40705,tokyo1,1,869,active,ARFF,613.0,2.0,346.0,2.0,45.0,959.0,0.0,0.0,42.0,3.0
40706,parity5_plus_5,1,869,active,ARFF,567.0,2.0,557.0,2.0,11.0,1124.0,0.0,0.0,0.0,11.0
40710,cleve,1,869,active,ARFF,165.0,5.0,138.0,2.0,14.0,303.0,0.0,0.0,5.0,9.0
40711,cleveland-nominal,1,869,active,ARFF,164.0,5.0,13.0,5.0,8.0,303.0,0.0,0.0,0.0,8.0
40714,parity5,1,869,active,ARFF,16.0,2.0,16.0,2.0,6.0,32.0,0.0,0.0,0.0,6.0
40945,Titanic,1,2,active,ARFF,809.0,3.0,500.0,2.0,14.0,1309.0,1309.0,3855.0,6.0,3.0
40966,MiceProtein,4,2,active,ARFF,150.0,8.0,105.0,8.0,82.0,1080.0,528.0,1396.0,77.0,5.0
40975,car,3,4265,active,ARFF,1210.0,4.0,65.0,4.0,7.0,1728.0,0.0,0.0,0.0,7.0
40981,Australian,4,4265,active,ARFF,383.0,14.0,307.0,2.0,15.0,690.0,0.0,0.0,6.0,9.0
40982,steel-plates-fault,3,4265,active,ARFF,673.0,7.0,55.0,7.0,28.0,1941.0,0.0,0.0,27.0,1.0
40994,climate-model-simulation-crashes,4,4265,active,ARFF,494.0,2.0,46.0,2.0,21.0,540.0,0.0,0.0,20.0,1.0
41430,DiabeticMellitus,1,201,active,ARFF,182.0,2.0,99.0,2.0,98.0,281.0,2.0,2.0,97.0,1.0
41511,iris,10,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
41538,conference_attendance,1,8263,active,ARFF,215.0,7.0,31.0,2.0,7.0,246.0,0.0,0.0,0.0,7.0
41568,iris,12,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
41583,iris,14,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
41701,CPMP-2015-classification,1,8316,active,ARFF,208.0,4.0,78.0,4.0,27.0,527.0,0.0,0.0,24.0,2.0
41707,FOREX_usddkk-day-High,1,1,active,arff,940.0,,892.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41713,FOREX_eurnzd-day-High,1,1,active,arff,955.0,,877.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41716,FOREX_eurcad-day-Close,1,1,active,arff,950.0,,884.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41719,FOREX_eurjpy-day-High,1,1,active,arff,935.0,,897.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41720,FOREX_eurusd-day-High,1,1,active,arff,957.0,,880.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41721,FOREX_audcad-day-High,1,1,active,arff,931.0,,903.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41722,FOREX_usdjpy-day-Close,1,1,active,arff,933.0,,902.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41724,FOREX_chfjpy-day-Close,1,1,active,arff,921.0,,911.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41725,FOREX_eurcad-day-High,1,1,active,arff,933.0,,901.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41726,FOREX_audusd-day-High,1,1,active,arff,958.0,,876.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41730,FOREX_usdchf-day-High,1,1,active,arff,919.0,,916.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41731,FOREX_eursek-day-High,1,1,active,arff,946.0,,891.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41733,FOREX_eurhkd-day-High,1,1,active,arff,960.0,,872.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41737,FOREX_audusd-day-Close,1,1,active,arff,922.0,,912.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41740,FOREX_audchf-day-Close,1,1,active,arff,925.0,,908.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41744,FOREX_eurrub-day-High,1,1,active,arff,944.0,,888.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41746,FOREX_cadchf-day-High,1,1,active,arff,945.0,,886.0,2.0,12.0,1831.0,0.0,0.0,11.0,1.0
41750,FOREX_eurhuf-day-Close,1,1,active,arff,929.0,,905.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41753,FOREX_usdcad-day-High,1,1,active,arff,921.0,,912.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41754,FOREX_eurjpy-day-Close,1,1,active,arff,936.0,,896.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41756,FOREX_audsgd-day-High,1,1,active,arff,930.0,,902.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41760,FOREX_eurhuf-day-High,1,1,active,arff,953.0,2.0,881.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41764,FOREX_gbpusd-day-High,1,1,active,arff,937.0,,897.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41765,FOREX_eurtry-day-Close,1,1,active,arff,935.0,,897.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41766,FOREX_eurgbp-day-High,1,1,active,arff,938.0,,897.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41769,FOREX_audcad-day-Close,1,1,active,arff,935.0,2.0,899.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41783,FOREX_eurdkk-day-Close,1,1,active,arff,956.0,,880.0,2.0,12.0,1836.0,0.0,0.0,11.0,1.0
41784,FOREX_gbpusd-day-Close,1,1,active,arff,932.0,2.0,902.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41785,FOREX_eurtry-day-High,1,1,active,arff,932.0,2.0,900.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41788,FOREX_audnzd-day-High,1,1,active,arff,1003.0,2.0,829.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41790,FOREX_cadjpy-day-Close,1,1,active,arff,923.0,2.0,911.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41791,FOREX_eurusd-day-Close,1,1,active,arff,926.0,2.0,911.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41797,FOREX_usdjpy-day-High,1,1,active,arff,921.0,2.0,914.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41801,FOREX_eursgd-day-High,1,1,active,arff,950.0,2.0,882.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41803,FOREX_eurchf-day-High,1,1,active,arff,978.0,2.0,855.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41811,FOREX_cadchf-day-Close,1,1,active,arff,949.0,2.0,882.0,2.0,12.0,1831.0,0.0,0.0,11.0,1.0
41812,FOREX_eurnok-day-Close,1,1,active,arff,921.0,2.0,916.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41815,FOREX_eurrub-day-Close,1,1,active,arff,918.0,2.0,914.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41818,FOREX_euraud-day-Close,1,1,active,arff,946.0,2.0,888.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41821,FOREX_eurpln-day-Close,1,1,active,arff,935.0,2.0,897.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41826,FOREX_eurnzd-day-Close,1,1,active,arff,955.0,2.0,877.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41829,FOREX_nzdusd-day-Close,1,1,active,arff,939.0,2.0,889.0,2.0,12.0,1828.0,0.0,0.0,11.0,1.0
41830,FOREX_nzdusd-day-High,1,1,active,arff,939.0,2.0,889.0,2.0,12.0,1828.0,0.0,0.0,11.0,1.0
41834,FOREX_usdcad-day-Close,1,1,active,arff,960.0,2.0,873.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41839,FOREX_cadjpy-day-High,1,1,active,arff,920.0,2.0,914.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41841,FOREX_chfsgd-day-Close,1,1,active,arff,933.0,2.0,899.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41844,FOREX_eurgbp-day-Close,1,1,active,arff,935.0,2.0,900.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41846,FOREX_eursek-day-Close,1,1,active,arff,925.0,2.0,912.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41847,FOREX_eurdkk-day-High,1,1,active,arff,939.0,2.0,897.0,2.0,12.0,1836.0,0.0,0.0,11.0,1.0
41848,FOREX_chfjpy-day-High,1,1,active,arff,936.0,2.0,896.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41849,FOREX_audsgd-day-Close,1,1,active,arff,923.0,2.0,909.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41857,FOREX_audjpy-day-Close,1,1,active,arff,957.0,2.0,875.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41858,FOREX_usdchf-day-Close,1,1,active,arff,951.0,2.0,884.0,2.0,12.0,1835.0,0.0,0.0,11.0,1.0
41863,FOREX_eurnok-day-High,1,1,active,arff,950.0,2.0,887.0,2.0,12.0,1837.0,0.0,0.0,11.0,1.0
41864,FOREX_chfsgd-day-High,1,1,active,arff,999.0,2.0,833.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41866,FOREX_euraud-day-High,1,1,active,arff,934.0,2.0,900.0,2.0,12.0,1834.0,0.0,0.0,11.0,1.0
41867,FOREX_audnzd-day-Close,1,1,active,arff,950.0,2.0,882.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41868,FOREX_eurpln-day-High,1,1,active,arff,969.0,2.0,863.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41872,FOREX_eurhkd-day-Close,1,1,active,arff,917.0,2.0,915.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41874,FOREX_eursgd-day-Close,1,1,active,arff,924.0,2.0,908.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41875,FOREX_audchf-day-High,1,1,active,arff,929.0,2.0,904.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41882,FOREX_audjpy-day-High,1,1,active,arff,941.0,2.0,891.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41894,FOREX_eurchf-day-Close,1,1,active,arff,952.0,2.0,881.0,2.0,12.0,1833.0,0.0,0.0,11.0,1.0
41897,FOREX_usddkk-day-Close,1,1,active,arff,916.0,2.0,916.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0
41919,CPMP-2015-runtime-classification,1,8316,active,ARFF,208.0,4.0,78.0,4.0,23.0,527.0,0.0,0.0,22.0,1.0
41945,ilpd-numeric,2,8684,active,ARFF,416.0,2.0,167.0,2.0,11.0,583.0,0.0,0.0,10.0,1.0
41950,iris_test_upload,1,4030,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
41976,TuningSVMs,1,64,active,ARFF,102.0,2.0,54.0,2.0,81.0,156.0,0.0,0.0,80.0,1.0
41977,TuningSVMs,2,64,active,ARFF,98.0,2.0,58.0,2.0,91.0,156.0,0.0,0.0,90.0,1.0
41978,TuningSVMs,3,64,active,ARFF,94.0,2.0,62.0,2.0,81.0,156.0,0.0,0.0,80.0,1.0
41997,iris,16,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42003,iris,18,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42011,iris,20,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42016,iris,22,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42021,iris,24,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42026,iris,26,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42031,iris,28,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42036,iris,30,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42041,iris,32,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42046,iris,34,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42051,iris,36,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42056,iris,38,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42066,iris,40,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42071,iris,42,348,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42098,iris,45,7214,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42172,regime_alimentaire,1,4030,active,ARFF,161.0,7.0,41.0,2.0,20.0,202.0,17.0,17.0,3.0,17.0
42186,JuanFeldmanIris,1,10443,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42261,iris-example,1,348,active,ARFF,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
42544,Touch2,1,12712,active,ARFF,47.0,,27.0,8.0,11.0,265.0,0.0,0.0,10.0,1.0
42585,penguins,1,13013,active,ARFF,152.0,,68.0,3.0,7.0,344.0,10.0,18.0,4.0,3.0
42638,titanic,9,14765,active,ARFF,549.0,,342.0,2.0,8.0,891.0,689.0,689.0,3.0,5.0
42665,ricci_vs_destefano,1,443,active,ARFF,62.0,,56.0,2.0,6.0,118.0,0.0,0.0,3.0,0.0
42700,iris,48,348,active,ARFF,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
43097,students_scores,1,28105,active,ARFF,518.0,,482.0,2.0,8.0,1000.0,0.0,0.0,3.0,0.0
43098,students_scores,2,28105,active,ARFF,518.0,,482.0,2.0,8.0,1000.0,0.0,0.0,3.0,0.0
43255,1StudentPerfromance,1,29722,active,ARFF,518.0,,482.0,2.0,8.0,1000.0,0.0,0.0,3.0,5.0
43595,Loan-Predication,1,30123,active,arff,422.0,,192.0,2.0,12.0,614.0,134.0,149.0,5.0,0.0
43786,Zombies-Apocalypse,1,30125,active,arff,121.0,,79.0,2.0,13.0,200.0,146.0,208.0,3.0,0.0
43859,iriiiiiis,2,28351,active,ARFF,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
43893,ibm-employee-attrition,1,443,active,ARFF,1233.0,,237.0,2.0,35.0,1470.0,0.0,0.0,26.0,0.0
43894,ibm-employee-attrition,2,443,active,ARFF,1233.0,,237.0,2.0,35.0,1470.0,0.0,0.0,26.0,0.0
43895,ibm-employee-performance,1,443,active,ARFF,1244.0,,226.0,2.0,34.0,1470.0,0.0,0.0,25.0,1.0
43896,ibm-employee-attrition,3,443,active,ARFF,1233.0,,237.0,2.0,35.0,1470.0,0.0,0.0,26.0,9.0
43897,ibm-employee-performance,2,443,active,ARFF,1244.0,,226.0,2.0,34.0,1470.0,0.0,0.0,25.0,9.0
43905,ibm-employee-performance,3,443,active,ARFF,1244.0,,226.0,2.0,33.0,1470.0,0.0,0.0,24.0,9.0
43921,car_evaluation,1,30861,active,ARFF,1210.0,,65.0,4.0,7.0,1728.0,0.0,0.0,0.0,7.0
43924,eucalyptus,3,30861,active,ARFF,214.0,,105.0,5.0,20.0,736.0,0.0,0.0,5.0,15.0
43941,anneal,5,30355,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
43942,anneal,6,30355,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44096,credit-g,2,30495,active,arff,700.0,,300.0,2.0,21.0,1000.0,0.0,0.0,7.0,14.0
44097,credit-g_copy,1,30495,active,arff,700.0,,300.0,2.0,21.0,1000.0,0.0,0.0,7.0,14.0
44098,credit-g_reproduced_1,1,30495,active,arff,700.0,,300.0,2.0,21.0,1000.0,0.0,0.0,7.0,14.0
44149,Heart_disease_prediction_20,1,30495,active,arff,159.0,,137.0,2.0,14.0,296.0,0.0,0.0,11.0,1.0
44151,Iris,51,30495,active,arff,50.0,,49.0,3.0,5.0,149.0,0.0,0.0,4.0,0.0
44153,vehicle_reproduced,1,30495,active,arff,218.0,,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0
44154,iris_reproduced,1,30495,active,arff,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
44155,credit-approval_reproduced,1,30495,active,arff,383.0,,307.0,2.0,16.0,690.0,37.0,67.0,6.0,10.0
44257,anneal,7,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44258,anneal,8,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44259,anneal,9,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44260,anneal,10,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44261,anneal,11,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44262,anneal,12,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44263,anneal,13,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44264,anneal,14,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44265,anneal,15,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44266,anneal,16,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44268,anneal,17,32426,active,ARFF,486.0,,412.0,2.0,39.0,898.0,0.0,0.0,6.0,33.0
44344,Iris,52,30495,active,arff,50.0,,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0
44478,amazon-commerce-reviews_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,30.0,,30.0,50.0,101.0,1500.0,0.0,0.0,100.0,1.0
44479,amazon-commerce-reviews_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,30.0,,30.0,50.0,101.0,1500.0,0.0,0.0,100.0,1.0
44480,amazon-commerce-reviews_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,30.0,,30.0,50.0,101.0,1500.0,0.0,0.0,100.0,1.0
44481,amazon-commerce-reviews_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,30.0,,30.0,50.0,101.0,1500.0,0.0,0.0,100.0,1.0
